addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"HONVÉD U .47., NAGYATÁD, Magyarország, 7500",COOP,,NAGYATÁD,Magyarország,,{'@spider': 'coop_dac'},,46.2306913,17.3760983,7. SZ. ABC,,,7500,1033116,,https://coop.hu/uzlet/1033116,,https://coop.hu/
"HUNYADI U. 9/A., NAGYECSED, Magyarország, 4355",COOP,,NAGYECSED,Magyarország,,{'@spider': 'coop_dac'},,47.8645217,22.3904877,CSEMEGE ABC,,,4355,1002200,,https://coop.hu/uzlet/1002200,,https://coop.hu/
"HÖSÖK TERE 5., NAGYIVÁN, Magyarország, 5363",COOP,,NAGYIVÁN,Magyarország,,{'@spider': 'coop_dac'},,47.4840823,20.9262652,860. ABC,,,5363,1008425,,https://coop.hu/uzlet/1008425,,https://coop.hu/
"HEVESI ÚT 8., NAGYKANIZSA, Magyarország, 8800",COOP,,NAGYKANIZSA,Magyarország,,{'@spider': 'coop_dac'},,46.4625159,17.0095587,124 COOP SZUPER NAGYKANIZSA,,,8800,1003965,,https://coop.hu/uzlet/1003965,,https://coop.hu/
"HUNYADI U. 2/A., ÓNOD, Magyarország, 3551",COOP,,ÓNOD,Magyarország,,{'@spider': 'coop_dac'},,48.0026563,20.9184147,804. SZ. ABC,,,3551,1002439,,https://coop.hu/uzlet/1002439,,https://coop.hu/
"HUNYADI ÚT 19., PETŐMIHÁLYFA, Magyarország, 9826",COOP,,PETŐMIHÁLYFA,Magyarország,,{'@spider': 'coop_dac'},,46.9824763,16.793074,59. SZ. VEGYESBOLT,,,9826,1003373,,https://coop.hu/uzlet/1003373,,https://coop.hu/
"HÔSÖK U. 24., POLGÁR, Magyarország, 4090",COOP,,POLGÁR,Magyarország,,{'@spider': 'coop_dac'},,47.871003,21.1149479,2. SZ. COOP SZIGET ABC,,,4090,1002130,,https://coop.hu/uzlet/1002130,,https://coop.hu/
"HŐSÖK U. 8/A, POLGÁR, Magyarország, 4090",COOP,,POLGÁR,Magyarország,,{'@spider': 'coop_dac'},,47.8723086,21.1143332,1. SZ. HOLLÓ COOP ABC,,,4090,1015795,,https://coop.hu/uzlet/1015795,,https://coop.hu/
"HÔSÖK TERE 4/2., RÁCKERESZTÚR, Magyarország, 2465",COOP,,RÁCKERESZTÚR,Magyarország,,{'@spider': 'coop_dac'},,47.275537,18.827409,CSABI BOLT,,,2465,1003808,,https://coop.hu/uzlet/1003808,,https://coop.hu/
"HUNYADI U. 2., REGÖLY, Magyarország, 7193",COOP,,REGÖLY,Magyarország,,{'@spider': 'coop_dac'},,46.578588,18.390687,46. SZ. RÉV ÁRUHÁZ,,,7193,1001439,,https://coop.hu/uzlet/1001439,,https://coop.hu/
